product_id,product_name,category,price
1,iPhone 13,Electronics,799.99
2,Nike Air Max,Clothing,129.99
3,Smart Watch Pro,Electronics,199.99
4,Yoga Mat Premium,Sports,45.99
5,Coffee Maker Deluxe,Home & Kitchen,89.99
6,Wireless Earbuds,Electronics,159.99
7,Running Shorts,Clothing,29.99
8,Blender Pro,Home & Kitchen,79.99
9,Gaming Mouse,Electronics,69.99
10,Fitness Tracker,Electronics,99.99
11,Kitchen Knife Set,Home & Kitchen,149.99
12,Backpack Elite,Sports,59.99
13,LED Monitor,Electronics,299.99
14,Protein Powder,Health,39.99
15,Desk Lamp,Home & Kitchen,34.99
